W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,V_batt,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP
300,9,0.4,0.2,447.0636286,12167.70829,0.56443313,16.93347335,2105269.83,2527334.729,1463193.791,1064140.939,0.3,0.1,0.1,0.4,1820406.27,2.600580386,40.51457529,9087.99069,804.8371026,2420.777115,568.8011657,480.102863,802.2225584,124.5281452,450.0665115,270.3410525,47.07865673,188.5072858,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4551.015675,289.7175988,362.1469985,117.0951314,2790,20.24766966
350,10,0.6,0.2,447.0636286,12411.50703,0.658505318,17.50537646,2799574.135,3360833.295,1945745.592,1415087.703,0.1,0.1,0.1,0.4,1816413.263,2.59487609,35.40971577,9329.475116,925.0174766,2420.777115,497.1318955,489.5446708,1047.568539,122.7953524,395.9297555,270.3410525,41.14671922,188.4943059,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4541.033158,292.0319168,365.039896,117.1095628,2790,20.46329706
300,9,0.5,0.2,447.0636286,12205.28558,0.56443313,16.91431252,2111648.882,2534992.655,1467627.327,1067365.328,0.3,0.1,0.1,0.4,1828704.383,2.612434833,40.63733608,9124.299275,834.0642516,2420.777115,570.5246561,481.5576096,804.4967055,124.7083642,451.368383,270.3410525,47.22130695,188.5115968,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4571.760958,290.9863009,363.7328761,117.4499344,2790,20.30707231
300,9,0.6,0.2,447.0636286,12238.9558,0.56443313,16.873101,2117361.04,2541849.988,1471597.361,1070252.626,0.3,0.1,0.1,0.4,1839498.893,2.627855562,40.74726292,9156.474283,859.8972515,2420.777115,572.0679653,482.8602708,806.5327493,124.8695014,452.5341511,270.3410525,47.3490439,188.5169489,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4598.747233,292.481516,365.601895,117.7676447,2790,20.36599508
350,11,0.4,0.2,447.0636286,12502.90425,0.658505318,18.22797904,2819709.309,3385005.173,1959739.837,1425265.336,0.1,0.1,0.1,0.4,1737594.678,2.482278111,35.66439051,9428.568542,1000.829506,2420.777115,500.7073813,493.0656263,1054.62545,128.9600949,398.6305672,270.3410525,41.4426558,188.4608597,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4343.986695,284.335712,355.41964,117.9518414,2790,20.43753503
350,11,0.5,0.2,447.0636286,12553.52532,0.658505318,18.20362859,2830842.674,3398370.558,1967477.691,1430892.866,0.1,0.1,0.1,0.4,1747627.279,2.496610399,35.80520811,9477.607357,1040.138373,2420.777115,502.6843787,495.0124725,1058.52618,129.203236,400.1239301,270.3410525,41.60628834,188.4660976,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4369.068199,285.9179604,357.3974505,118.4175635,2790,20.51514206
300,10,0.4,0.1,447.0636286,13855.58408,0.56443313,19.43604975,2397431.43,2878068.943,1969205.066,908863.8768,0.1,0.1,0.1,0.3,1809865.435,2.58552205,46.13703897,10773.89533,2101.263668,2420.777115,647.7372985,546.730585,965.1590373,139.3532714,509.6924313,270.3410525,53.61205948,188.5005752,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4524.663587,291.6887561,364.6109452,118.5215299,2790,22.11661742
300,10,0.4,0.2,447.0636286,12338.78386,0.56443313,17.55135191,2134276.154,2562156.248,1483353.617,1078802.631,0.3,0.1,0.1,0.4,1762622.851,2.518032644,41.07278351,9263.774561,941.9942746,2420.777115,576.6380858,486.7177733,812.5600282,131.8196882,455.9862792,270.3410525,47.72730461,188.4847259,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4406.557127,285.0093037,356.2616297,118.7084635,2790,20.35535663
350,11,0.6,0.2,447.0636286,12598.93652,0.658505318,18.14932521,2840820.377,3410348.591,1974412.342,1435936.249,0.1,0.1,0.1,0.4,1760668.964,2.515241376,35.93140859,9521.168394,1074.978827,2420.777115,504.4561603,496.7572327,1062.021251,129.4207149,401.4622793,270.3410525,41.75293555,188.4725912,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4401.672409,287.7681303,359.7101629,118.8349429,2790,20.59166464
300,10,0.5,0.2,447.0636286,12384.51522,0.56443313,17.53359775,2142011.706,2571442.624,1488729.94,1082712.684,0.3,0.1,0.1,0.4,1771489.519,2.530699313,41.22164927,9308.095323,977.7209911,2420.777115,578.7280748,488.4818709,815.3154326,132.0478477,457.5649924,270.3410525,47.90028927,188.4894237,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4428.723798,286.4198986,358.0248732,119.138715,2790,20.42545115
300,10,0.6,0.2,447.0636286,12425.46196,0.56443313,17.49179225,2148932.017,2579750.321,1493539.66,1086210.661,0.3,0.1,0.1,0.4,1782844.33,2.546920471,41.35482625,9347.414208,1009.350902,2420.777115,580.5978024,490.0600526,817.7799374,132.2515975,458.977327,270.3410525,48.05504329,188.4951443,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4457.110825,288.0477515,360.0596894,119.5236228,2790,20.49402019
300,10,0.5,0.1,447.0636286,13986.78549,0.56443313,19.44264072,2419792.437,2904912.89,1987571.977,917340.9126,0.1,0.1,0.1,0.3,1826389.611,2.609128016,46.5673623,10902.12748,2204.201958,2420.777115,653.7787887,551.8300415,973.6193178,139.9730502,514.2559866,270.3410525,54.11210284,188.5098311,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4565.974027,294.6580141,368.3225177,119.6269884,2790,22.29724948
300,11,0.4,0.2,447.0636286,12528.18246,0.56443313,18.10606395,2166269.692,2600563.856,1505589.601,1094974.255,0.3,0.1,0.1,0.4,1718545.104,2.455064434,41.68847875,9456.229977,1092.759564,2420.777115,585.2820902,494.0139215,823.9522334,138.9487926,462.5156935,270.3410525,48.44275342,188.4685274,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4296.362759,281.9524879,352.4406098,120.4879445,2790,20.50741855
300,10,0.6,0.1,447.0636286,14105.40316,0.56443313,19.41632952,2439979.117,2929146.599,2004152.936,924993.6628,0.1,0.1,0.1,0.3,1845210.604,2.636015148,46.95584207,11017.64713,2296.891816,2420.777115,659.2328197,556.4336407,981.2532117,140.5300005,518.3757934,270.3410525,54.56352325,188.51992,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4613.02651,297.7560351,372.1950438,120.6249548,2790,22.46686396
300,11,0.5,0.2,447.0636286,12583.22586,0.56443313,18.09040484,2175541.007,2611693.886,1512033.302,1099660.583,0.3,0.1,0.1,0.4,1728041.93,2.468631328,41.86689929,9509.703907,1135.926299,2420.777115,587.7870111,496.1282516,827.2516386,139.2327329,464.4078335,270.3410525,48.65008126,188.4736573,1090.436057,120.6555704,979.3059268,171.2145141,274.4233839,4320.104824,283.5219538,354.4024422,121.0036151,2790,20.58959942
