W_S,AR,lambda,t_c,W_S_max,WTO,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,S,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_elec,W_antiice,W_instr,W_avionics,W_engine_sys,W_furn,W_services,W_crew,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload
300,9,0.4,0.1,447.063628623853,13665.1322751078,0.564433129961166,18.6798530652193,2365068.8875365,2839218.35238476,1643757.99348591,1195460.35889885,0.1,0.5,0.1,0.4,930830.800324927,45.5142424821266,10332.1667784793,1761.30244975865,2420.77711531044,638.993596611023,539.350267655584,894.519147394226,131.65087227471,503.08770861638,270.34105252,52.8883588918183,188.527976397862,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2327.07700081232,542.965496628483,678.706870785604,353.962736922791,2790
300,9,0.4,0.1,447.063628623853,13709.6017806615,0.564433129961166,18.6964558401285,2372697.86937901,2848376.7939724,1649060.24914192,1199316.54483049,0.1,0.5,0.3,0.4,826110.770593664,45.6610573725095,10347.1958540689,1767.89692063693,2420.77711531044,641.054792617496,541.090066071035,897.219902495761,131.853691552814,504.64467249835,270.34105252,53.0589604044389,188.530446913005,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2065.27692648416,572.405926592609,715.507408240762,381.939531411821,2790
300,9,0.4,0.1,447.063628623853,13298.3836860829,0.564433129961166,18.5352643779383,2300039.82907022,2761152.25578657,1598561.83229749,1162590.42348908,0.3,0.1,0.1,0.4,1784010.59169407,44.2627997224605,10203.453944359,1704.52298016659,2420.77711531044,621.424065265623,524.520318736682,871.476742480442,129.908003220756,489.816226602047,270.34105252,51.4341601576138,188.505046850214,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4460.02647923518,304.929741723857,381.162177154821,127.928240966385,2790
300,9,0.4,0.1,447.063628623853,13340.2281540446,0.564433129961166,18.5513841053779,2307166.77050005,2769708.00780318,1603515.16241237,1166192.84539081,0.3,0.1,0.3,0.4,1684814.64988364,44.3999531652642,10217.433866943,1710.61635849926,2420.77711531044,623.349620145266,526.145625156442,874.003985775175,130.100259625089,491.270731360905,270.34105252,51.5935348963914,188.507350605419,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,4212.03662470909,332.79428710158,415.992858876975,154.418510140225,2790
300,9,0.4,0.1,447.063628623853,13398.5465495994,0.564433129961166,18.5737258573248,2317094.95169549,2781626.59267166,1610415.39575727,1171211.19691438,0.3,0.2,0.1,0.4,1543217.14724851,44.5910146809422,10236.9136119204,1719.11105284504,2420.77711531044,626.032013137415,528.409757420392,877.52378173484,130.367566288559,493.29692828391,270.34105252,51.8155517741975,188.510559556938,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3858.04286812128,371.632937679,464.541172098749,191.340834240478,2790
300,9,0.4,0.1,447.063628623853,13441.0067090092,0.564433129961166,18.5899019934848,2324320.01334816,2790300.13607222,1615436.92088392,1174863.2151883,0.3,0.2,0.3,0.4,1442528.74722381,44.7300563848608,10251.0933119653,1725.29751608554,2420.77711531044,627.984078109182,530.057440546171,880.084684674395,130.561718414391,494.771457948606,270.34105252,51.9771207059591,188.512894601976,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3606.32186805953,399.913397043934,499.891746304918,218.225335049226,2790
300,9,0.4,0.1,447.063628623853,13500.1851454611,0.564433129961166,18.6123213919059,2334385.04969459,2802383.01283864,1622432.27059079,1179950.74224785,0.3,0.3,0.1,0.4,1298831.70283844,44.923751590644,10270.8517598532,1733.92212135353,2420.77711531044,630.703446584629,532.352783175122,883.651415604844,130.831662075774,496.825585011118,270.34105252,52.2021979784878,188.516147190663,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,3247.0792570961,439.333385607827,549.166732009784,255.698705913424,2790
300,9,0.4,0.1,447.063628623853,13543.2728943469,0.564433129961166,18.628553353129,2341709.82629867,2811176.26206322,1627523.09908924,1183653.16297399,0.3,0.3,0.3,0.4,1196619.66653672,45.0647122452119,10285.2345702712,1740.20329694741,2420.77711531044,632.682452511804,534.023206698365,886.246507018617,131.02773038158,498.320465042488,270.34105252,52.365996765018,188.51851402685,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2991.5491663418,468.038324075653,585.047905094567,282.985578852911,2790
300,9,0.4,0.1,447.063628623853,13613.7097677064,0.564433129961166,18.6605565534053,2356244.70072752,2828625.09090939,1637625.05263175,1191000.03827764,0.3,0.4,0.1,0.4,1051591.153506,45.3444266343734,10314.7861885394,1753.68086677693,2420.77711531044,636.609480488252,537.337901489446,891.394626495364,131.415851610366,501.286820839614,270.34105252,52.6910298578348,188.523210102542,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2628.97788376499,508.923579166972,636.154473958715,321.612501742284,2790
300,9,0.4,0.1,447.063628623853,13657.8464011074,0.564433129961166,18.6771254064368,2363818.77417576,2837717.61605733,1642889.14613845,1194828.46991888,0.3,0.4,0.3,0.4,947651.49881737,45.4901848477248,10329.7024036982,1760.22219737577,2420.77711531044,638.65584136137,539.065177824365,894.076542112864,131.617605004511,502.832578719464,270.34105252,52.8604034929599,188.525656927831,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,2369.12874704343,538.143997409159,672.679996761449,349.380913041479,2790
300,9,0.4,0.1,447.063628623853,13719.3837021861,0.564433129961166,18.70009746728,2374375.75188998,2850391.05869145,1650226.40240031,1200164.65629114,0.3,0.5,0.1,0.4,799357.054329884,45.6933471514089,10350.499771106,1769.34780862484,2420.77711531044,641.508122406756,541.47270919858,897.813824404855,131.898252987102,504.987103837379,270.34105252,53.0964817015503,188.529067065899,1090.43605748,120.65557042,979.30592683,171.214514054338,274.42338385,1998.39263582471,578.883931080066,723.604913850082,388.095432157099,2790
