W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,CD,Cd0,Cdi,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
300,398.7697181,17542.57388,58.40660933,24.16745939,3.796912674,11.68132187,17.5219828,0.564645137,0.029591678,0.019219444,0.010372234,19.08121376,3034998.431,3643455.5,2109368.974,1534086.526,0.1,0.5,0.3,0.4,1167044.695,14023.98466,2051.702971,2040.943527,911.1055091,692.129015,1129.901561,155.9804743,666.8716707,2917.611738,728.5892265,910.7365331,488.5518269,2790,26.78107697,1742.019053,583.5223476,517.2091482,1543.823773
350,398.7697181,17738.85916,50.61941033,22.49875782,3.571576106,10.12388207,15.1858231,0.65875266,0.035058148,0.020940385,0.014117763,18.79028717,4002087.811,4804427.144,2781510.452,2022916.692,0.1,0.4,0.1,0.4,1245864.931,14203.41622,1918.684896,2040.943527,789.6302173,699.8242814,1464.597657,145.6682719,580.680864,3114.662328,745.442946,931.8036825,491.0756702,2790,27.08841691,1744.659757,622.9324656,526.2018095,1551.799118
350,398.7697181,17679.8883,50.45294224,22.4617324,3.566585669,10.09058845,15.13588267,0.65875266,0.035083005,0.020965242,0.014117763,18.77697389,3988926.458,4788627.201,3276429.137,1512198.063,0.1,0.3,0.3,0.3,1186216.658,14131.02702,1908.628969,2040.943527,787.0334223,697.5227883,1558.552432,145.4390901,578.8383506,2965.541644,758.8612745,948.5765931,504.6861273,2790,27.0083758,1748.212329,593.1083288,523.826365,1594.808162
300,398.7697181,16851.96106,56.12787125,23.69132146,3.732537177,11.22557425,16.83836138,0.564645137,0.029859148,0.019486914,0.010372234,18.91028971,2916587.749,3501305.821,2027071.791,1474234.03,0.3,0.5,0.3,0.4,986119.1248,13318.71407,1933.511108,2040.943527,875.5586619,665.1251506,1088.538683,153.0413401,641.6499866,2465.297812,743.2469945,929.0587431,509.7072019,2790,25.86580495,1741.771283,493.0595624,504.9834085,1610.674758
350,398.7697181,17451.67834,49.80827152,22.31776681,3.547185633,9.961654304,14.94248146,0.65875266,0.03518073,0.021062968,0.014117763,18.72481472,3937957.298,4727439.733,3234564.028,1492875.705,0.3,0.3,0.1,0.3,1126961.487,13900.12809,1872.408873,2040.943527,776.976974,688.6099397,1539.774223,144.5478066,571.7029622,2817.403717,761.5502494,951.9378117,509.7740295,2790,26.6961093,1747.566037,563.4807433,519.7711171,1610.885933
300,398.7697181,16987.27191,56.57486269,23.78547092,3.745261802,11.31497254,16.97245881,0.564645137,0.029805101,0.019432868,0.010372234,18.94458026,2939814.886,3529189.539,2414708.632,1114480.907,0.3,0.4,0.3,0.3,989463.3471,13448.64509,1956.058388,2040.943527,882.5314407,670.4221571,1169.236627,153.6227164,646.5974077,2473.658368,748.6268252,935.7835314,513.5179744,2790,26.03725882,1744.230829,494.7316736,506.4035154,1622.716799
350,398.7697181,17009.38647,48.5570707,22.03566897,3.509191636,9.711414139,14.56712121,0.65875266,0.035377316,0.021259553,0.014117763,18.62076432,3839034.463,4608684.83,2668185.954,1940498.876,0.1,0.4,0.3,0.4,1051903.13,13457.96012,1803.032479,2040.943527,757.4590466,671.3115632,1408.516694,142.8006184,557.8543359,2629.757825,761.426349,951.7829363,514.4873978,2790,26.12900437,1744.737392,525.951565,513.1548201,1625.780177
350,398.7697181,16830.41679,48.05015727,21.92034609,3.493667363,9.610031455,14.41504718,0.65875266,0.035459685,0.021341923,0.014117763,18.57751003,3798956.714,4560572.286,2640331.323,1920240.962,0.3,0.4,0.1,0.4,1004901.524,13276.83047,1775.05521,2040.943527,749.5515235,664.3032762,1394.712366,142.0860771,552.2436822,2512.253809,763.5863138,954.4828923,518.5335684,2790,25.88146697,1744.232226,502.4507618,509.9420329,1638.566076
350,398.7697181,16623.27195,47.46302268,21.78600989,3.4755895,9.492604536,14.2389068,0.65875266,0.035557149,0.021439386,0.014117763,18.52658849,3752536.493,4504845.73,3082262.868,1422582.862,0.3,0.3,0.3,0.3,908405.3815,13054.03367,1742.159899,2040.943527,740.3926018,656.1859011,1471.354284,141.2535205,545.7451191,2271.013454,779.2382866,974.0478583,535.9284562,2790,25.60194484,1747.486353,454.2026907,504.9572448,1693.533921
350,398.7697181,16165.27768,46.1312379,21.47818379,3.434189469,9.22624758,13.83937137,0.65875266,0.035786832,0.021669069,0.014117763,18.40768321,3647242.504,4378442.382,2534887.695,1843554.687,0.3,0.4,0.3,0.4,829384.8668,12598.11132,1670.172201,2040.943527,719.6176165,637.7734446,1342.382298,139.3448957,531.004568,2073.462167,777.1663538,971.4579423,539.0755544,2790,24.99442598,1743.980396,414.6924334,497.9340146,1703.478752
350,398.7697181,16064.90463,45.84799603,21.41214516,3.425312426,9.169599207,13.75439881,0.65875266,0.035837294,0.021719531,0.014117763,18.38176367,3624848.746,4351559.119,2519323.701,1832235.419,0.1,0.5,0.1,0.4,802377.9474,12495.32321,1654.846653,2040.943527,715.1992257,633.8575147,1334.647999,138.9352779,527.8695711,2005.944868,779.581421,974.4767763,542.5048674,2790,24.84849184,1744.036518,401.1889737,496.0902453,1714.315381
